hourOfDay,dayOfWeek,bayOccupied,recentAvgCurrent,sessionElapsedMin,historicalArrivalRate,arrivedWithinWindow,actualDurationMin
6,3,0,0.0,0.0,0.2,0,0.0
20,6,1,12.46,4.7,0.5,1,740.3
1,3,0,0.0,0.0,0.05,1,0.0
20,0,1,14.35,33.5,0.5,0,323.4
9,3,0,0.0,0.0,0.65,1,0.0
14,5,1,16.49,32.5,0.3,0,217.2
17,3,0,0.0,0.0,0.3,0,0.0
8,1,1,13.94,51.9,0.65,0,630.2
7,6,1,14.21,22.3,0.2,0,683.2
21,4,0,0.0,0.0,0.6,0,0.0
1,1,0,0.0,0.0,0.05,0,0.0
15,6,1,22.1,9.8,0.3,0,331.5
17,6,0,0.0,0.0,0.3,1,0.0
12,0,1,8.5,8.1,0.3,0,1697.2
16,2,0,0.0,0.0,0.3,0,0.0
9,6,1,10.53,110.9,0.55,1,245.7
22,6,0,0.0,0.0,0.2,0,0.0
11,5,0,0.0,0.0,0.3,0,0.0
4,6,0,0.0,0.0,0.05,0,0.0
22,6,0,0.0,0.0,0.2,1,0.0
14,6,1,15.76,26.0,0.3,0,390.4
4,6,0,0.0,0.0,0.05,0,0.0
3,4,0,0.0,0.0,0.05,0,0.0
21,3,0,0.0,0.0,0.6,0,0.0
20,5,1,19.84,11.1,0.6,0,383.3
22,3,0,0.0,0.0,0.2,0,0.0
0,0,0,0.0,0.0,0.05,1,0.0
12,0,1,23.78,8.1,0.3,0,274.6
14,2,1,15.39,32.9,0.3,1,189.7
19,3,1,16.24,30.9,0.6,1,517.9
0,0,0,0.0,0.0,0.05,0,0.0
11,1,0,0.0,0.0,0.3,1,0.0
3,6,0,0.0,0.0,0.05,0,0.0
5,4,0,0.0,0.0,0.05,0,0.0
10,6,1,25.85,81.2,0.55,0,256.4
2,3,0,0.0,0.0,0.05,0,0.0
2,6,0,0.0,0.0,0.05,0,0.0
19,0,0,0.0,0.0,0.5,1,0.0
17,0,0,0.0,0.0,0.3,0,0.0
17,6,0,0.0,0.0,0.3,0,0.0
6,3,1,16.25,181.2,0.2,0,348.5
8,2,1,18.01,84.4,0.65,0,120.9
23,3,1,17.17,7.9,0.2,0,120.2
13,1,0,0.0,0.0,0.3,0,0.0
8,3,1,13.14,12.2,0.65,0,813.7
0,3,0,0.0,0.0,0.05,0,0.0
21,5,1,15.44,173.6,0.6,0,136.0
14,0,1,19.49,57.7,0.3,0,526.1
16,3,0,0.0,0.0,0.3,0,0.0
20,5,1,17.89,0.7,0.6,0,210.3
19,6,1,15.71,9.5,0.5,1,724.0
9,6,0,0.0,0.0,0.55,0,0.0
13,1,0,0.0,0.0,0.3,0,0.0
1,6,0,0.0,0.0,0.05,0,0.0
16,0,1,13.33,55.5,0.3,0,435.6
12,3,0,0.0,0.0,0.3,0,0.0
12,3,0,0.0,0.0,0.3,0,0.0
15,5,0,0.0,0.0,0.3,1,0.0
1,1,0,0.0,0.0,0.05,0,0.0
18,0,1,9.23,180.4,0.5,1,237.7
19,1,0,0.0,0.0,0.6,1,0.0
4,0,0,0.0,0.0,0.05,0,0.0
11,4,0,0.0,0.0,0.3,0,0.0
19,5,1,16.06,45.7,0.6,1,260.7
23,6,0,0.0,0.0,0.2,0,0.0
4,1,0,0.0,0.0,0.05,0,0.0
8,3,1,17.77,8.6,0.65,1,569.4
21,0,0,0.0,0.0,0.5,1,0.0
15,4,0,0.0,0.0,0.3,0,0.0
21,4,1,15.05,12.8,0.6,0,545.1
20,6,1,23.49,28.1,0.5,0,211.9
4,3,1,20.65,21.1,0.05,0,168.1
15,6,0,0.0,0.0,0.3,0,0.0
19,3,1,16.04,46.4,0.6,0,533.0
11,2,0,0.0,0.0,0.3,0,0.0
10,3,1,16.44,10.9,0.65,1,612.3
7,4,0,0.0,0.0,0.2,1,0.0
1,2,0,0.0,0.0,0.05,0,0.0
20,1,1,14.28,94.5,0.6,0,131.3
3,1,0,0.0,0.0,0.05,0,0.0
2,0,0,0.0,0.0,0.05,0,0.0
16,6,0,0.0,0.0,0.3,0,0.0
4,3,0,0.0,0.0,0.05,0,0.0
2,0,0,0.0,0.0,0.05,0,0.0
19,0,1,14.92,101.6,0.5,0,440.3
19,2,1,13.55,3.9,0.6,0,531.4
20,3,0,0.0,0.0,0.6,0,0.0
6,4,0,0.0,0.0,0.2,0,0.0
13,6,1,19.56,60.1,0.3,1,165.3
6,5,0,0.0,0.0,0.2,1,0.0
17,2,0,0.0,0.0,0.3,1,0.0
4,5,0,0.0,0.0,0.05,0,0.0
0,5,0,0.0,0.0,0.05,0,0.0
12,3,1,17.98,55.4,0.3,0,345.8
9,1,1,21.77,25.6,0.65,0,260.8
6,0,0,0.0,0.0,0.2,1,0.0
16,0,0,0.0,0.0,0.3,1,0.0
5,1,1,8.34,157.6,0.05,0,748.3
20,2,0,0.0,0.0,0.6,1,0.0
18,3,1,12.41,8.2,0.6,1,969.1
11,1,0,0.0,0.0,0.3,0,0.0
11,3,1,22.1,8.4,0.3,1,247.9
4,0,0,0.0,0.0,0.05,0,0.0
16,0,1,18.97,75.6,0.3,1,204.2
17,2,1,21.91,1.2,0.3,0,248.5
14,0,0,0.0,0.0,0.3,0,0.0
21,2,0,0.0,0.0,0.6,0,0.0
1,0,0,0.0,0.0,0.05,0,0.0
15,6,0,0.0,0.0,0.3,0,0.0
4,5,0,0.0,0.0,0.05,0,0.0
20,4,0,0.0,0.0,0.6,1,0.0
20,5,1,17.33,13.0,0.6,1,515.4
7,6,0,0.0,0.0,0.2,0,0.0
21,2,1,14.97,86.0,0.6,1,206.0
16,6,1,12.14,63.3,0.3,0,423.8
1,5,0,0.0,0.0,0.05,0,0.0
14,2,1,18.74,58.3,0.3,0,176.3
22,1,0,0.0,0.0,0.2,0,0.0
3,1,0,0.0,0.0,0.05,0,0.0
19,4,0,0.0,0.0,0.6,1,0.0
12,5,0,0.0,0.0,0.3,1,0.0
18,6,1,17.47,6.2,0.5,0,387.4
2,2,0,0.0,0.0,0.05,0,0.0
18,2,0,0.0,0.0,0.6,1,0.0
9,4,1,12.24,35.8,0.65,0,513.2
16,5,1,23.86,17.5,0.3,1,438.3
15,4,1,15.21,91.2,0.3,1,808.2
14,6,0,0.0,0.0,0.3,0,0.0
22,5,0,0.0,0.0,0.2,0,0.0
13,2,1,28.32,56.2,0.3,0,22.2
5,2,0,0.0,0.0,0.05,0,0.0
22,4,1,20.48,37.4,0.2,0,150.3
11,0,0,0.0,0.0,0.3,0,0.0
3,1,0,0.0,0.0,0.05,0,0.0
14,3,0,0.0,0.0,0.3,0,0.0
7,0,0,0.0,0.0,0.2,0,0.0
4,5,0,0.0,0.0,0.05,0,0.0
23,2,0,0.0,0.0,0.2,0,0.0
0,4,0,0.0,0.0,0.05,0,0.0
22,3,0,0.0,0.0,0.2,1,0.0
23,6,0,0.0,0.0,0.2,1,0.0
7,4,0,0.0,0.0,0.2,1,0.0
1,3,0,0.0,0.0,0.05,0,0.0
5,5,0,0.0,0.0,0.05,0,0.0
18,5,0,0.0,0.0,0.6,1,0.0
7,1,0,0.0,0.0,0.2,0,0.0
5,1,0,0.0,0.0,0.05,0,0.0
0,3,0,0.0,0.0,0.05,0,0.0
13,5,0,0.0,0.0,0.3,1,0.0
3,4,0,0.0,0.0,0.05,1,0.0
17,1,0,0.0,0.0,0.3,0,0.0
1,4,0,0.0,0.0,0.05,0,0.0
4,0,0,0.0,0.0,0.05,0,0.0
23,5,0,0.0,0.0,0.2,0,0.0
16,4,0,0.0,0.0,0.3,0,0.0
13,4,0,0.0,0.0,0.3,0,0.0
